Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
23;SHORT;2024-01-28 17:30:00;2024-01-28 18:25:00;55.0;2375.6;26.793;2371.1;26.683;3.73;-1.17;TP_ZSCORE;1.2516;1;1;-450.0;550.0;100.0;148.0;-48.0;100.0;-130.0;-4827.0
24;SHORT;2024-03-12 19:00:00;2024-03-12 20:35:00;95.0;2495.1;27.869;2495.7;27.864;4.2;-1.49;TP_ZSCORE;0.0529;1;1;60.0;25.0;85.0;148.0;-63.0;85.0;-30.0;-4890.0
25;SHORT;2024-03-31 17:30:00;2024-03-31 20:45:00;195.0;2570.7;28.704;2587.8;28.799;4.04;-2.3;TP_ZSCORE;-0.0141;1;1;1710.0;-475.0;1235.0;148.0;1087.0;1235.0;-235.0;-3803.0
26;SHORT;2024-04-10 07:30:00;2024-04-10 09:05:00;95.0;2658.8;31.469;2673.0;31.714;3.82;-1.21;TP_ZSCORE;1.9895;1;1;1420.0;-1225.0;195.0;148.0;47.0;525.0;-300.0;-3756.0
27;LONG;2024-04-21 22:15:00;2024-04-22 02:45:00;270.0;2689.4;31.514;2683.6;31.359;-4.05;1.0;TP_ZSCORE;1.1795;1;1;580.0;-775.0;-195.0;148.0;-343.0;50.0;-570.0;-4099.0
28;LONG;2024-04-26 14:20:00;2024-04-28 17:30:00;3070.0;2658.9;30.714;2658.0;30.759;-3.5;1.51;TP_ZSCORE;1.6655;1;1;90.0;225.0;315.0;148.0;167.0;315.0;-100.0;-3932.0
29;SHORT;2024-05-14 19:00:00;2024-05-14 20:35:00;95.0;2672.5;32.141;2674.2;32.041;4.18;-1.02;TP_ZSCORE;1.7103;1;1;170.0;500.0;670.0;148.0;522.0;820.0;0.0;-3410.0
30;LONG;2024-05-30 00:30:00;2024-05-30 02:00:00;90.0;2636.8;34.841;2644.7;34.971;-3.61;1.23;TP_ZSCORE;0.4951;1;1;-790.0;650.0;-140.0;148.0;-288.0;115.0;-505.0;-3698.0
31;LONG;2024-08-07 00:30:00;2024-08-07 04:15:00;225.0;2675.3;30.168;2675.9;30.008;-3.78;1.15;TP_ZSCORE;1.3774;1;1;-60.0;-800.0;-860.0;148.0;-1008.0;165.0;-1290.0;-4706.0
32;SHORT;2024-08-29 07:30:00;2024-08-29 08:30:00;60.0;2785.1;32.313;2786.2;32.173;3.67;-1.32;TP_ZSCORE;2.1421;1;1;110.0;700.0;810.0;148.0;662.0;810.0;-260.0;-4044.0
33;SHORT;2024-09-23 22:05:00;2024-09-23 23:40:00;95.0;2896.2;33.95;2902.1;33.94;3.55;-1.28;TP_ZSCORE;1.9342;1;1;590.0;50.0;640.0;148.0;492.0;640.0;0.0;-3552.0
34;LONG;2024-10-07 17:30:00;2024-10-07 19:10:00;100.0;2906.2;34.48;2904.1;34.48;-3.71;1.65;TP_ZSCORE;2.0334;1;1;210.0;0.0;210.0;148.0;62.0;210.0;-45.0;-3490.0
35;LONG;2024-10-16 20:30:00;2024-10-16 23:55:00;205.0;2933.4;34.455;2935.9;34.35;-3.56;1.54;TP_ZSCORE;2.0607;1;1;-250.0;-525.0;-775.0;148.0;-923.0;205.0;-1295.0;-4413.0
36;LONG;2024-11-05 18:20:00;2024-11-05 22:35:00;255.0;2986.6;35.035;2988.7;34.95;-3.83;1.43;TP_ZSCORE;1.2567;1;1;-210.0;-425.0;-635.0;148.0;-783.0;400.0;-1315.0;-5196.0
37;LONG;2024-11-11 23:30:00;2024-11-12 01:05:00;95.0;2855.8;32.93;2854.0;32.99;-3.97;1.12;TP_ZSCORE;1.8417;1;1;180.0;300.0;480.0;148.0;332.0;530.0;0.0;-4864.0
38;SHORT;2024-12-10 18:00:00;2024-12-10 20:50:00;170.0;2939.1;34.767;2953.8;34.937;4.22;-1.36;TP_ZSCORE;0.4721;1;1;1470.0;-850.0;620.0;148.0;472.0;620.0;-90.0;-4392.0
39;LONG;2024-12-19 19:05:00;2024-12-19 22:20:00;195.0;2826.5;31.552;2829.6;31.537;-3.5;1.03;TP_ZSCORE;1.9757;1;1;-310.0;-75.0;-385.0;148.0;-533.0;35.0;-715.0;-4925.0
40;LONG;2025-02-11 07:00:00;2025-02-11 08:15:00;75.0;3102.5;33.947;3115.8;34.212;-3.85;1.29;TP_ZSCORE;0.882;1;1;-1330.0;1325.0;-5.0;148.0;-153.0;0.0;-430.0;-5078.0
41;LONG;2025-03-12 20:00:00;2025-03-12 21:35:00;95.0;3138.8;35.64;3138.7;35.67;-3.59;1.39;TP_ZSCORE;1.6024;1;1;10.0;150.0;160.0;148.0;12.0;185.0;-115.0;-5066.0
42;LONG;2025-04-06 17:30:00;2025-04-06 19:20:00;110.0;3188.5;30.465;3157.6;30.345;-3.96;1.41;TP_ZSCORE;0.6653;1;1;3090.0;-600.0;2490.0;148.0;2342.0;2715.0;-180.0;-2724.0
