Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
59;LONG;2024-10-07 17:30:00;2024-10-07 19:10:00;100.0;2906.2;34.48;2904.1;34.48;-3.71;1.65;TP_ZSCORE;2.0334;2;1;42.0;0.0;42.0;32.5;9.5;42.0;-9.0;-2070.5
60;LONG;2024-10-10 18:20:00;2024-10-10 20:50:00;150.0;2891.0;33.915;2895.1;34.01;-3.55;1.01;TP_ZSCORE;2.2413;3;1;-123.0;95.0;-28.0;38.0;-66.0;0.0;-126.0;-2136.5
61;LONG;2024-10-13 17:30:00;2024-10-13 19:05:00;95.0;2907.6;33.93;2903.5;33.895;-4.06;2.66;TP_ZSCORE;2.3302;3;1;123.0;-35.0;88.0;38.0;50.0;88.0;-6.0;-2086.5
62;LONG;2024-10-16 20:30:00;2024-10-16 23:55:00;205.0;2933.4;34.455;2935.9;34.35;-3.56;1.54;TP_ZSCORE;2.0607;2;1;-50.0;-105.0;-155.0;32.5;-187.5;41.0;-259.0;-2274.0
63;SHORT;2024-10-21 22:25:00;2024-10-21 23:45:00;80.0;2987.7;36.84;2990.6;36.895;3.6;-1.03;TP_ZSCORE;2.1643;3;1;87.0;-55.0;32.0;38.0;-6.0;37.0;-13.0;-2280.0
64;LONG;2024-11-05 18:20:00;2024-11-05 22:35:00;255.0;2986.6;35.035;2988.7;34.95;-3.83;1.43;TP_ZSCORE;1.2567;1;1;-21.0;-85.0;-106.0;27.0;-133.0;131.0;-269.0;-2413.0
65;LONG;2024-11-11 23:30:00;2024-11-12 01:05:00;95.0;2855.8;32.93;2854.0;32.99;-3.97;1.12;TP_ZSCORE;1.8417;2;1;36.0;60.0;96.0;32.5;63.5;106.0;0.0;-2349.5
66;LONG;2024-11-25 17:35:00;2024-11-25 19:15:00;100.0;2862.0;32.825;2869.9;32.85;-3.58;1.2;TP_ZSCORE;0.5195;1;1;-79.0;25.0;-54.0;27.0;-81.0;4.0;-143.0;-2430.5
67;SHORT;2024-12-10 18:00:00;2024-12-10 20:50:00;170.0;2939.1;34.767;2953.8;34.937;4.22;-1.36;TP_ZSCORE;0.4721;1;1;147.0;-170.0;-23.0;27.0;-50.0;8.0;-92.0;-2480.5
68;LONG;2024-12-19 19:05:00;2024-12-19 22:20:00;195.0;2826.5;31.552;2829.6;31.537;-3.5;1.03;TP_ZSCORE;1.9757;2;1;-62.0;-15.0;-77.0;32.5;-109.5;7.0;-143.0;-2590.0
69;SHORT;2025-01-06 05:10:00;2025-01-06 07:35:00;145.0;2865.4;32.577;2856.3;32.682;3.88;-1.97;TP_ZSCORE;1.0464;1;1;-91.0;-105.0;-196.0;27.0;-223.0;0.0;-379.0;-2813.0
70;LONG;2025-01-26 17:30:00;2025-01-26 21:10:00;220.0;2987.6;33.042;2979.8;32.872;-3.72;1.41;TP_ZSCORE;0.8592;1;1;78.0;-170.0;-92.0;27.0;-119.0;20.0;-194.0;-2932.0
71;LONG;2025-02-11 07:00:00;2025-02-11 08:15:00;75.0;3102.5;33.947;3115.8;34.212;-3.85;1.29;TP_ZSCORE;0.882;1;1;-133.0;265.0;132.0;27.0;105.0;132.0;-85.0;-2827.0
72;LONG;2025-02-25 01:55:00;2025-02-25 04:05:00;130.0;3134.5;34.452;3141.6;34.657;-3.57;2.2;TP_ZSCORE;1.1792;1;1;-71.0;205.0;134.0;27.0;107.0;134.0;0.0;-2720.0
73;SHORT;2025-03-11 19:00:00;2025-03-11 20:35:00;95.0;3110.6;35.19;3112.4;35.18;4.13;-1.8;TP_ZSCORE;1.611;2;1;36.0;10.0;46.0;32.5;13.5;46.0;-0.0;-2706.5
74;LONG;2025-03-12 20:00:00;2025-03-12 21:35:00;95.0;3138.8;35.64;3138.7;35.67;-3.59;1.39;TP_ZSCORE;1.6024;2;1;2.0;30.0;32.0;32.5;-0.5;37.0;-23.0;-2707.0
75;SHORT;2025-04-02 03:25:00;2025-04-02 05:30:00;125.0;3319.3;36.51;3319.2;36.56;3.52;-1.53;TP_ZSCORE;0.8505;1;1;-1.0;-50.0;-51.0;27.0;-78.0;12.0;-118.0;-2785.0
